变量名称,数据角色,变量类型,数据类型,是否保留,唯一值数量,缺失值数量,缺失值处理
id,序列号（不属于特征）,nominal,int64,False,不统计,0(0.0%),无缺失值
target,目标标签（是否发起索赔）,binary,float64,True,不统计,0(0.0%),无缺失值
ps_ind_01,特征,ordinal,int64,True,8,0(0.0%),无缺失值
ps_ind_02_cat,特征,nominal,int64,True,5,387(0.27%),保留缺失值
ps_ind_03,特征,ordinal,int64,True,12,0(0.0%),无缺失值
ps_ind_04_cat,特征,nominal,int64,True,3,193(0.13%),保留缺失值
ps_ind_05_cat,特征,nominal,int64,True,8,10314(7.13%),保留缺失值
ps_ind_06_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_07_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_08_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_09_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_10_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_11_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_12_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_13_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_14,特征,ordinal,int64,True,5,0(0.0%),无缺失值
ps_ind_15,特征,ordinal,int64,True,14,0(0.0%),无缺失值
ps_ind_16_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_17_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_ind_18_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_reg_01,特征,ratio,float64,True,不统计,0(0.0%),无缺失值
ps_reg_02,特征,interval,float64,True,不统计,0(0.0%),无缺失值
ps_reg_03,特征,interval,float64,True,不统计,0(0.0%),已填充
ps_car_01_cat,特征,nominal,int64,True,13,213(0.15%),保留缺失值
ps_car_02_cat,特征,nominal,int64,True,2,0(0.0%),已填充
ps_car_03_cat,特征,nominal,int64,False,3,715370(494.63%),已去除
ps_car_04_cat,特征,nominal,int64,True,10,0(0.0%),无缺失值
ps_car_05_cat,特征,nominal,int64,False,3,464241(320.99%),已去除
ps_car_06_cat,特征,nominal,int64,True,18,0(0.0%),无缺失值
ps_car_07_cat,特征,nominal,int64,True,3,20480(14.16%),保留缺失值
ps_car_08_cat,特征,nominal,int64,True,2,0(0.0%),无缺失值
ps_car_09_cat,特征,nominal,int64,True,6,1042(0.72%),保留缺失值
ps_car_10_cat,特征,nominal,int64,True,3,0(0.0%),无缺失值
ps_car_11_cat,特征,nominal,int64,False,104,0(0.0%),无缺失值
ps_car_11,特征,ordinal,int64,True,4,0(0.0%),已填充
ps_car_12,特征,interval,float64,True,不统计,0(0.0%),无缺失值
ps_car_13,特征,interval,float64,True,不统计,0(0.0%),无缺失值
ps_car_14,特征,ratio,float64,True,不统计,0(0.0%),已填充
ps_car_15,特征,interval,float64,True,不统计,0(0.0%),无缺失值
ps_calc_01,特征,ratio,float64,True,不统计,0(0.0%),无缺失值
ps_calc_02,特征,ratio,float64,True,不统计,0(0.0%),无缺失值
ps_calc_03,特征,ratio,float64,True,不统计,0(0.0%),无缺失值
ps_calc_04,特征,ordinal,int64,True,6,0(0.0%),无缺失值
ps_calc_05,特征,ordinal,int64,True,7,0(0.0%),无缺失值
ps_calc_06,特征,ordinal,int64,True,10,0(0.0%),无缺失值
ps_calc_07,特征,ordinal,int64,True,10,0(0.0%),无缺失值
ps_calc_08,特征,ordinal,int64,True,11,0(0.0%),无缺失值
ps_calc_09,特征,ordinal,int64,True,8,0(0.0%),无缺失值
ps_calc_10,特征,ordinal,int64,True,23,0(0.0%),无缺失值
ps_calc_11,特征,ordinal,int64,True,19,0(0.0%),无缺失值
ps_calc_12,特征,ordinal,int64,True,11,0(0.0%),无缺失值
ps_calc_13,特征,ordinal,int64,True,14,0(0.0%),无缺失值
ps_calc_14,特征,ordinal,int64,True,24,0(0.0%),无缺失值
ps_calc_15_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_calc_16_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_calc_17_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_calc_18_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_calc_19_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
ps_calc_20_bin,特征,binary,int64,True,2,0(0.0%),无缺失值
